
nov. 14, 2018 09:48:42.65 [7948:8036:1114/094842.650:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:48:45.89 [7948:8036:1114/094845.894:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:49:01.46 [7948:8036:1114/094901.463:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:49:04.76 [7948:8036:1114/094904.759:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:49:08.00 [7948:8036:1114/094908.003:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:49:23.57 [7948:8036:1114/094923.576:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:49:26.87 [7948:8036:1114/094926.869:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:49:30.13 [7948:8036:1114/094930.130:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:49:45.71 [7948:8036:1114/094945.715:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:49:49.01 [7948:8036:1114/094949.012:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:49:52.37 [7948:8036:1114/094952.371:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:50:07.86 [7948:8036:1114/095007.860:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:50:13.56 [7948:8036:1114/095013.561:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:50:14.51 [7948:8036:1114/095014.514:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:50:29.98 [7948:8036:1114/095029.985:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:50:35.67 [7948:8036:1114/095035.670:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:50:50.59 [7948:8036:1114/095050.593:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:50:52.09 [7948:8036:1114/095052.096:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:50:57.78 [7948:8036:1114/095057.779:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:51:13.35 [7948:8036:1114/095113.350:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:51:16.64 [7948:8036:1114/095116.645:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:51:19.90 [7948:8036:1114/095119.905:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:51:35.49 [7948:8036:1114/095135.492:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:51:38.78 [7948:8036:1114/095138.787:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:51:42.04 [7948:8036:1114/095142.048:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:51:57.62 [7948:8036:1114/095157.619:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:52:00.91 [7948:8036:1114/095200.913:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:52:04.15 [7948:8036:1114/095204.157:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:52:19.72 [7948:8036:1114/095219.728:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:52:23.02 [7948:8036:1114/095223.022:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:52:26.35 [7948:8036:1114/095226.351:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:52:41.83 [7948:8036:1114/095241.837:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:52:47.54 [7948:8036:1114/095247.539:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:52:48.49 [7948:8036:1114/095248.493:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:53:03.97 [7948:8036:1114/095303.978:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:53:09.68 [7948:8036:1114/095309.681:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:53:24.52 [7948:8036:1114/095324.521:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
nov. 14, 2018 09:53:26.12 [7948:8036:1114/095326.122:ERROR:latency_info.cc(144)] Surface::TakeLatencyInfoFromFrame, LatencyInfo vector size 102 is too big.
